application_id,score,pd,qaror,sabab,sabab_texnik,asosiy_omil,tavsiya_summa,limit,dti,pti,income_cv,scorecard_version
AP002161,548.6,0.425882,RAD_ETILDI,"Afsuski, hozircha kredit bera olmaymiz. Sabab: hozirgi daromadingiz mavjud to'lovlardan keyin yangi kreditni ko'tara olmaydi. To'sqinlik qildi: yangi kreditgacha ham mavjud to'lovlaringiz daromadning 80% ini oladi; barcha to'lovlardan keyin qo'lingizda pul umuman qolmaydi; oylik daromadingiz 2 022 581 so'm — so'ralgan summa uchun kam. Foydangizga ishladi: bandlik turingiz (xususiy) barqaror daromad beradi; mavjud qarz qoldig'i yillik daromadingizga nisbatan kichik; bankimiz bilan tarixingiz uzoq — 8 yil 11 oy. Nima qilish mumkin: Mavjud kreditlaringizdan birini yopsangiz, qarz yuki pasayadi va limit sezilarli oshadi.","Rad etildi: So'ralgan summada DTI 386.4% — shift 50.0%; to'lov qobiliyati qolmagan; Yangi to'lov daromadning 306.3% ini oladi — shift 35.0%. Ballga eng ko'p salbiy ta'sir: Mavjud qarz yuki (yangi kreditsiz) (-19 ball), To'lovlardan keyingi erkin pul (-15 ball). Yakuniy ball 549.",Mavjud qarz yuki (yangi kreditsiz) (-19 ball),0,0,3.8638,3.0633,0.0397,v1
AP002162,626.0,0.048307,QOLDA_KORIB_CHIQISH,"Arizangiz bank xodimiga ko'rib chiqishga yuborildi. So'ragan 12 130 227 so'm ni to'liq bera olmaymiz, lekin 3 400 000 so'm sizning to'lov qobiliyatingizga to'g'ri keladi — bunda oylik to'lov 186 621 so'm bo'ladi. Yakuniy qarorni bank xodimi tasdiqlaydi. To'sqinlik qildi: oylik daromadingiz 2 210 536 so'm — so'ralgan summa uchun kam; bankimiz bilan tarixingiz qisqa — 2 yil 4 oy, sizni hali yaxshi bilmaymiz; xarajatlaringiz daromadning 64% ini yeb qo'yadi. Foydangizga ishladi: bank hisobingizdagi tushum deklaratsiya bilan mos; bandlik turingiz (byudjet) barqaror daromad beradi; yangi kreditsiz ham qarz yukingiz past — daromadning 42% i. Nima qilish mumkin: So'rovni 3 400 000 so'm gacha kamaytiring — bu summada ma'qullanish ehtimoli sezilarli oshadi. Muddatni uzaytiring (hozir 2 yil) — oylik to'lov kamayadi va qarz yuki chegara ichiga tushadi.","Qo'lda ko'rib chiqish: So'ralgan summada DTI 71.7% — shift 50.0%; taklif: 3 400 000 so'm; Ball 626 — avtomatik ma'qullash chegarasi 630 dan past. Diqqat talab qiladigan omillar: Oylik daromad medianasi (-11), Bank bilan tarix (oy) (-4). Ball 626, tavsiya etilgan limit 3 400 000 so'm.",Oylik daromad medianasi (-11 ball),3400000,3400000,0.7166,0.3012,0.0361,v1
AP002163,587.1,0.16355,QOLDA_KORIB_CHIQISH,"Arizangiz bank xodimiga ko'rib chiqishga yuborildi. So'ragan 34 358 189 so'm ni to'liq bera olmaymiz, lekin 16 700 000 so'm sizning to'lov qobiliyatingizga to'g'ri keladi — bunda oylik to'lov 916 638 so'm bo'ladi. Yakuniy qarorni bank xodimi tasdiqlaydi. To'sqinlik qildi: ish stajingiz qisqa — atigi 5 oy; oxirgi oylarda daromadingiz kamaygan; bankimiz bilan tarixingiz qisqa — 3 yil 2 oy, sizni hali yaxshi bilmaymiz. Foydangizga ishladi: bank hisobingizdagi tushum deklaratsiya bilan mos; yangi kreditsiz ham qarz yukingiz past — daromadning 0% i; mavjud qarz qoldig'i yillik daromadingizga nisbatan kichik. Nima qilish mumkin: To'lov qobiliyatingiz 16 700 000 so'm ga yetadi. Shu summani so'rasangiz, ariza qo'lda ko'rib chiqishga tushadi. Muddatni uzaytiring (hozir 2 yil) — oylik to'lov kamayadi va qarz yuki chegara ichiga tushadi.","Qo'lda ko'rib chiqish: So'ralgan summada DTI 71.7% — shift 50.0%; taklif: 16 700 000 so'm; Yangi to'lov daromadning 71.7% ini oladi — shift 35.0%. Diqqat talab qiladigan omillar: Ish staji (oy) (-15), Daromad trendi (2-yarim/1-yarim) (-7). Ball 587, tavsiya etilgan limit 16 700 000 so'm.",Ish staji (oy) (-15 ball),16700000,0,0.7175,0.7175,0.2597,v1
AP002164,626.8,0.047068,QOLDA_KORIB_CHIQISH,"Arizangiz bank xodimiga ko'rib chiqishga yuborildi. Ko'rsatkichlaringiz chegaraviy zonada — avtomatik qaror o'rniga bank xodimi arizangizni qo'lda ko'rib chiqadi. To'sqinlik qildi: bank hisobingizdagi tushum deklaratsiya bilan mos; bankimiz bilan tarixingiz qisqa — 1 yil 11 oy, sizni hali yaxshi bilmaymiz; oylik daromadingiz 3 035 250 so'm — so'ralgan summa uchun kam. Foydangizga ishladi: bandlik turingiz (xususiy) barqaror daromad beradi; oxirgi oylarda daromadingiz o'sgan; xarajatlaringiz daromadning 67% i — tejamkor. Nima qilish mumkin: Qo'shimcha shart yo'q — hujjatlarni tasdiqlash uchun bank xodimi siz bilan bog'lanadi.","Qo'lda ko'rib chiqish: Ball 627 — avtomatik ma'qullash chegarasi 630 dan past. Diqqat talab qiladigan omillar: Bank oqimi / deklaratsiya (-11), Bank bilan tarix (oy) (-4). Ball 627, tavsiya etilgan limit 15 994 705 so'm.",Bank oqimi / deklaratsiya (-11 ball),15994705,0,0.2892,0.2892,0.0349,v1
AP002165,547.9,0.432204,RAD_ETILDI,"Afsuski, hozircha kredit bera olmaymiz. Sabab: kredit tarixingizda 95 kunlik kechikish bor. To'sqinlik qildi: yangi kreditgacha ham mavjud to'lovlaringiz daromadning 85% ini oladi; o'tmishda 95 kunlik kechikish qayd etilgan; barcha to'lovlardan keyin qo'lingizda pul umuman qolmaydi. Foydangizga ishladi: bandlik turingiz (qurilish) barqaror daromad beradi; oxirgi oylarda daromadingiz o'sgan; xarajatlaringiz daromadning 73% i — tejamkor. Nima qilish mumkin: Mavjud kreditlaringizdan birini yopsangiz, qarz yuki pasayadi va limit sezilarli oshadi. Kechikish yopilgandan keyin 12 oy toza to'lov tarixi to'plang, so'ng qayta murojaat qiling.","Rad etildi: O'tmishda 95 kunlik kechikish (90+ kun — qattiq to'siq); So'ralgan summada DTI 156.2% — shift 50.0%; to'lov qobiliyati qolmagan. Ballga eng ko'p salbiy ta'sir: Mavjud qarz yuki (yangi kreditsiz) (-19 ball), O'tmishdagi maks. kechikish (kun) (-16 ball). Yakuniy ball 548.",Mavjud qarz yuki (yangi kreditsiz) (-19 ball),0,0,1.5622,0.7088,0.0301,v1
AP002166,638.8,0.031523,QOLDA_KORIB_CHIQISH,"Arizangiz bank xodimiga ko'rib chiqishga yuborildi. So'ragan 20 844 643 so'm ni to'liq bera olmaymiz, lekin 15 700 000 so'm sizning to'lov qobiliyatingizga to'g'ri keladi — bunda oylik to'lov 861 749 so'm bo'ladi. Yakuniy qarorni bank xodimi tasdiqlaydi. To'sqinlik qildi: xarajatlaringiz daromadning 71% ini yeb qo'yadi; oylik daromadingiz 2 476 260 so'm — so'ralgan summa uchun kam. Foydangizga ishladi: bank hisobingizdagi tushum deklaratsiya bilan mos; oxirgi oylarda daromadingiz o'sgan; barcha to'lovlardan keyin oyiga 1 332 129 so'm qoladi. Nima qilish mumkin: So'rovni 15 700 000 so'm gacha kamaytiring — bu summada ma'qullanish ehtimoli sezilarli oshadi. Muddatni uzaytiring (hozir 2 yil) — oylik to'lov kamayadi va qarz yuki chegara ichiga tushadi.","Qo'lda ko'rib chiqish: Yangi to'lov daromadning 46.2% ini oladi — shift 35.0%. Diqqat talab qiladigan omillar: Sarf intensivligi (chiqim/kirim) (-4), Oylik daromad medianasi (-3). Ball 639, tavsiya etilgan limit 15 700 000 so'm.",Sarf intensivligi (chiqim/kirim) (-4 ball),15700000,15700000,0.462,0.462,0.0332,v1
AP002167,608.9,0.084226,QOLDA_KORIB_CHIQISH,"Arizangiz bank xodimiga ko'rib chiqishga yuborildi. Ko'rsatkichlaringiz chegaraviy zonada — avtomatik qaror o'rniga bank xodimi arizangizni qo'lda ko'rib chiqadi. To'sqinlik qildi: oxirgi oylarda daromadingiz kamaygan; bankimiz bilan tarixingiz qisqa — 2 yil 2 oy, sizni hali yaxshi bilmaymiz; oylik daromadingiz 2 700 278 so'm — so'ralgan summa uchun kam. Foydangizga ishladi: bandlik turingiz (qurilish) barqaror daromad beradi; barcha to'lovlardan keyin oyiga 1 766 555 so'm qoladi; yangi kreditsiz ham qarz yukingiz past — daromadning 0% i. Nima qilish mumkin: Qo'shimcha shart yo'q — hujjatlarni tasdiqlash uchun bank xodimi siz bilan bog'lanadi.","Qo'lda ko'rib chiqish: Ball 609 — avtomatik ma'qullash chegarasi 630 dan past. Diqqat talab qiladigan omillar: Daromad trendi (2-yarim/1-yarim) (-7), Bank bilan tarix (oy) (-4). Ball 609, tavsiya etilgan limit 17 011 281 so'm.",Daromad trendi (2-yarim/1-yarim) (-7 ball),17011281,0,0.3458,0.3458,0.27,v1
AP002168,640.7,0.02964,QOLDA_KORIB_CHIQISH,"Arizangiz bank xodimiga ko'rib chiqishga yuborildi. So'ragan 8 367 520 so'm ni to'liq bera olmaymiz, lekin 7 700 000 so'm sizning to'lov qobiliyatingizga to'g'ri keladi — bunda oylik to'lov 743 096 so'm bo'ladi. Yakuniy qarorni bank xodimi tasdiqlaydi. To'sqinlik qildi: oylik daromadingiz 2 145 950 so'm — so'ralgan summa uchun kam; xarajatlaringiz daromadning 62% ini yeb qo'yadi. Foydangizga ishladi: ish stajingiz uzoq — 10 yil 5 oy; bandlik turingiz (xususiy) barqaror daromad beradi; bank hisobingizdagi tushum deklaratsiya bilan mos. Nima qilish mumkin: So'rovni 7 700 000 so'm gacha kamaytiring — bu summada ma'qullanish ehtimoli sezilarli oshadi. Muddatni uzaytiring (hozir 1 yil) — oylik to'lov kamayadi va qarz yuki chegara ichiga tushadi.","Qo'lda ko'rib chiqish: Yangi to'lov daromadning 37.6% ini oladi — shift 35.0%. Diqqat talab qiladigan omillar: Oylik daromad medianasi (-11), Sarf intensivligi (chiqim/kirim) (-3). Ball 641, tavsiya etilgan limit 7 700 000 so'm.",Oylik daromad medianasi (-11 ball),7700000,7700000,0.3763,0.3763,0.3204,v1
AP002169,609.5,0.082472,QOLDA_KORIB_CHIQISH,Arizangiz bank xodimiga ko'rib chiqishga yuborildi. Ko'rsatkichlaringiz chegaraviy zonada — avtomatik qaror o'rniga bank xodimi arizangizni qo'lda ko'rib chiqadi. To'sqinlik qildi: oylik daromadingiz 1 625 384 so'm — so'ralgan summa uchun kam; xarajatlaringiz daromadning 71% ini yeb qo'yadi; oila a'zosiga oyiga atigi 232 198 so'm to'g'ri keladi. Foydangizga ishladi: bandlik turingiz (xususiy) barqaror daromad beradi; barcha to'lovlardan keyin oyiga 1 242 557 so'm qoladi; yangi kreditsiz ham qarz yukingiz past — daromadning 0% i. Nima qilish mumkin: Qo'shimcha shart yo'q — hujjatlarni tasdiqlash uchun bank xodimi siz bilan bog'lanadi.,"Qo'lda ko'rib chiqish: Ball 610 — avtomatik ma'qullash chegarasi 630 dan past. Diqqat talab qiladigan omillar: Oylik daromad medianasi (-11), Sarf intensivligi (chiqim/kirim) (-4). Ball 610, tavsiya etilgan limit 9 255 179 so'm.",Oylik daromad medianasi (-11 ball),9255179,0,0.2355,0.2355,0.2682,v1
AP002170,609.8,0.081626,QOLDA_KORIB_CHIQISH,Arizangiz bank xodimiga ko'rib chiqishga yuborildi. Ko'rsatkichlaringiz chegaraviy zonada — avtomatik qaror o'rniga bank xodimi arizangizni qo'lda ko'rib chiqadi. To'sqinlik qildi: bank hisobingizdagi tushum deklaratsiya bilan mos; xarajatlaringiz daromadning 70% ini yeb qo'yadi; oylik daromadingiz 2 475 342 so'm — so'ralgan summa uchun kam. Foydangizga ishladi: bandlik turingiz (byudjet) barqaror daromad beradi; barcha to'lovlardan keyin oyiga 1 800 703 so'm qoladi; yangi kreditsiz ham qarz yukingiz past — daromadning 0% i. Nima qilish mumkin: Qo'shimcha shart yo'q — hujjatlarni tasdiqlash uchun bank xodimi siz bilan bog'lanadi.,"Qo'lda ko'rib chiqish: Ball 610 — avtomatik ma'qullash chegarasi 630 dan past. Diqqat talab qiladigan omillar: Bank oqimi / deklaratsiya (-11), Sarf intensivligi (chiqim/kirim) (-4). Ball 610, tavsiya etilgan limit 12 291 082 so'm.",Bank oqimi / deklaratsiya (-11 ball),12291082,0,0.2725,0.2725,0.0323,v1
